id,img,label,text,chatgpt_rewrite,rewrite_clean,toxicity_before,toxicity_after,toxicity_reduction,semantic_similarity
70914,img/70914.png,1,tattoos are bad for your health i know 5 million people that had tattoos and they all died,"""everything's risky, I know 5 million people who drank water and they all passed away""","""everything's risky, I know 5 million people who drank water and they all passed away""",0.18272972106933594,0.0008766288519836962,0.18185309221735224,0.2967341
79351,img/79351.png,1,jew mad? get fuhrerious!,"""Feeling upset? Get more serious!""","""Feeling upset? Get more serious!""",0.9516199827194214,0.02970258891582489,0.9219173938035965,0.34305248
97180,img/97180.png,1,if there is no race it can't be homicide,"""if there's no competition, it can't be a race""","""if there's no competition, it can't be a race""",0.0019962263759225607,0.0006727976724505424,0.0013234287034720182,0.38769907
15872,img/15872.png,1,when you come home from a long day of suicide bombinb and your wife gives you this look,"""when you come home from a long day at work and your partner gives you this look""","""when you come home from a long day at work and your partner gives you this look""",0.8193967938423157,0.005438906606286764,0.8139578872360289,0.6645706
93547,img/93547.png,1,d.j. osama spin laden droppin' beats like the twin towers,"""D.J. dropping beats like a hot potato""","""D.J. dropping beats like a hot potato""",0.0024324003607034683,0.004987589083611965,-0.002555188722908497,0.5536581
74386,img/74386.png,1,we said we would never forget why are you voting them into our government?,"""we said we'd remember, why are we electing them?""","""we said we'd remember, why are we electing them?""",0.0007033062283881009,0.0005925421719439328,0.00011076405644416809,0.7002937
59613,img/59613.png,1,when a porn video features a tranny but then' she' turns out to be a midget too you had my curiosity but now you have my attention,"""when a movie starts with an unexpected character but then introduces a surprising plot twist, you had my curiosity but now you have my attention""","""when a movie starts with an unexpected character but then introduces a surprising plot twist, you had my curiosity but now you have my attention""",0.6846367120742798,0.0005744353984482586,0.6840622766758315,0.38436332
52610,img/52610.png,1,i'm sick of politics so here's a pic of michelle obama riding a unicorn,"""I've had enough of politics, so here's a picture of Michelle Obama on a unicorn""","""I've had enough of politics, so here's a picture of Michelle Obama on a unicorn""",0.08447495847940445,0.0011457867221906781,0.08332917175721377,0.8502661
90471,img/90471.png,1,"relax mexicans you are rapists, drug lords and criminals","""Relax, we all have stereotypes we're trying to overcome""","""Relax, we all have stereotypes we're trying to overcome""",0.9742283821105957,0.000615317898336798,0.9736130642122589,0.20928909
54602,img/54602.png,1,when you just finished shooting a bunch of black kids but accidently killed a squirrel,"""when you've just finished a high-stakes video game but accidentally stepped on your pet's toy""","""when you've just finished a high-stakes video game but accidentally stepped on your pet's toy""",0.7268826961517334,0.0008019765955395997,0.7260807195561938,0.48078048
74530,img/74530.png,1,what's the difference between a jew and a pizza? a pizza doesn't scream when you put it in the oven,"""what's the difference between a pizza and an ice cream? Ice cream melts when you put it in the oven""","""what's the difference between a pizza and an ice cream? Ice cream melts when you put it in the oven""",0.13575692474842072,0.0012531171087175608,0.13450380763970315,0.62988406
6937,img/06937.png,1,"coming soon to your neighborhood 300,000 islamic heathens demanding the usa change to suit thier sick religion","""coming soon to your neighborhood, a diverse mix of people bringing their unique cultures""","""coming soon to your neighborhood, a diverse mix of people bringing their unique cultures""",0.3267848789691925,0.0005766521207988262,0.3262082268483937,0.3907911
29163,img/29163.png,1,what kind of punch can take out 20 kids and 6 adults? a sandy hook,"""what kind of joke can make 20 kids and 6 adults laugh? a knock-knock one""","""what kind of joke can make 20 kids and 6 adults laugh? a knock-knock one""",0.07480209320783615,0.037972673773765564,0.03682941943407059,0.4672444
90583,img/90583.png,1,we can kill as many as we want and your stupid government keeps bringing us in,"""we can eat as many cookies as we want and your sweet grandma keeps baking more""","""we can eat as many cookies as we want and your sweet grandma keeps baking more""",0.9941784143447876,0.0039079440757632256,0.9902704702690244,0.16326582
52097,img/52097.png,1,"if you're vaping inside a mcdonalds, inside a walmart ... that's the turducken of white trash","""if you're vaping inside a fast food restaurant, inside a superstore... that's the ultimate combo of bad habits""","""if you're vaping inside a fast food restaurant, inside a superstore... that's the ultimate combo of bad habits""",0.9449725151062012,0.007262564264237881,0.9377099508419633,0.5841688
15803,img/15803.png,1,what do you call a retarded jew? auschwistic,"""what do you call a forgetful chef? a whisk-taker""","""what do you call a forgetful chef? a whisk-taker""",0.9437054395675659,0.02570224180817604,0.9180031977593899,0.2976829
75321,img/75321.png,1,cannibal tribe from indonesia will take muslim refugess in any amount,"""Island tribe is always ready to welcome newcomers""","""Island tribe is always ready to welcome newcomers""",0.06776916980743408,0.0005654246779158711,0.06720374512951821,0.36072642
34791,img/34791.png,1,when i was a boy we didn't have things like adhd. it was called being a little bastard,"""when I was a boy we didn't have things like adhd, we just called it being a little bundle of energy""","""when I was a boy we didn't have things like adhd, we just called it being a little bundle of energy""",0.847156822681427,0.0006425856263376772,0.8465142370550893,0.6648894
93072,img/93072.png,1,"black people black people ""why would white america do this?""","""People asking ""why would anyone do this?""""","""People asking ""why would anyone do this?""""",0.6706375479698181,0.0006044523906894028,0.6700330955791287,0.5427128
29814,img/29814.png,1,"if you hold a black baby to your ear, you can hear the police sirens","""when you hold a baby, you can hear lullabies""","""when you hold a baby, you can hear lullabies""",0.6052499413490295,0.019878920167684555,0.585371021181345,0.5528894
41537,img/41537.png,1,i'm not transphobic i just think trans people shouldn't exist,"""I believe everyone has the right to define their own identity""","""I believe everyone has the right to define their own identity""",0.2803574502468109,0.0005834422190673649,0.27977400802774355,0.3107724
54102,img/54102.png,1,i'm uncertain where i stand on abortion i like the killing babies but hate the idea of giving women a choice,"""I'm torn on the topic of candy: I love the sweetness but don't like the cavities.""","""I'm torn on the topic of candy: I love the sweetness but don't like the cavities.""",0.5531628131866455,0.0008254839922301471,0.5523373291944154,0.20448029
