id,img,label,text,gemini_rewrite
70914,img/70914.png,1,tattoos are bad for your health i know 5 million people that had tattoos and they all died,"Safe_Text: Eating toast is bad for you. I know millions of people who ate toast, and they all got hungry again.
Safe_Image: A picture of a piece of toast looking suspicious."
79351,img/79351.png,1,jew mad? get fuhrerious!,"Safe_Text: Feeling focused? Stay sharp!
Safe_Image: A person or animal with a determined and focused expression."
97180,img/97180.png,1,if there is no race it can't be homicide,"Safe_Text: If there's no start, can you even run a race?
Safe_Image: A confused runner standing on an empty track."
15872,img/15872.png,1,when you come home from a long day of suicide bombinb and your wife gives you this look,"Safe_Text: when you come home from a long day of adulting and your partner gives you this look
Safe_Image: A person with a neutral, slightly expectant expression looking directly at the camera."
93547,img/93547.png,1,d.j. osama spin laden droppin' beats like the twin towers,"Safe_Text: DJ dropping some fresh beats!
Safe_Image: A DJ enthusiastically playing music at a party."
74386,img/74386.png,1,we said we would never forget why are you voting them into our government?,"Safe_Text: Building together for a brighter future.
Safe_Image: A stylized emblem featuring a generic city skyline."
59613,img/59613.png,1,when a porn video features a tranny but then' she' turns out to be a midget too you had my curiosity but now you have my attention,"Safe_Text: When a simple topic catches your eye, but then it unfolds into something truly fascinating. You had my curiosity, but now you have my attention.
Safe_Image: A person with a thoughtful and intrigued expression, showing focused attention."
52610,img/52610.png,1,i'm sick of politics so here's a pic of michelle obama riding a unicorn,"Safe_Text: I'm sick of politics, so here's a picture of a majestic unicorn.
Safe_Image: A majestic unicorn standing in a field or a whimsical setting."
90471,img/90471.png,1,"relax mexicans you are rapists, drug lords and criminals","Safe_Text: Family, food, and festive fun!
Safe_Image: A diverse family smiling and sharing a meal during a holiday celebration."
54602,img/54602.png,1,when you just finished shooting a bunch of black kids but accidently killed a squirrel,"Safe_Text: When you're on an important mission but your partner gets distracted by a squirrel.
Safe_Image: A dog on a leash intently focused on something unseen on the ground, with a person (its handler) nearby in an outdoor setting."
74530,img/74530.png,1,what's the difference between a jew and a pizza? a pizza doesn't scream when you put it in the oven,"Safe_Text: What's the difference between this pizza and my diet? This one's actually getting eaten.
Safe_Image: Top: A delicious looking pepperoni pizza on a table. Bottom: A person making a face of mock regret or enjoyment while holding a slice of pizza."
6937,img/06937.png,1,"coming soon to your neighborhood 300,000 islamic heathens demanding the usa change to suit thier sick religion","Safe_Text: They're multiplying... and coming this way.
Safe_Image: A large group of cute, cartoonish animals or toys marching towards the viewer."
29163,img/29163.png,1,what kind of punch can take out 20 kids and 6 adults? a sandy hook,"Safe_Text: What kind of punch really hits the spot? A refreshing fruit punch!
Safe_Image: A vibrant glass of fruit punch with ice, garnished with colorful fruit slices."
90583,img/90583.png,1,we can kill as many as we want and your stupid government keeps bringing us in,"Safe_Text: When you just can't hold back the laughter.
Safe_Image: A person laughing happily in a natural outdoor setting."
52097,img/52097.png,1,"if you're vaping inside a mcdonalds, inside a walmart ... that's the turducken of white trash","Safe_Text: if you're vaping inside a mcdonalds, inside a walmart ... that's the turducken of questionable decisions
Safe_Image: A large blue sign for a Walmart Supercenter, with two yellow McDonald's arrow signs pointing towards an entrance."
15803,img/15803.png,1,what do you call a retarded jew? auschwistic,"Safe_Text: Friends supporting each other.
Safe_Image: Two men posing together, one with an arm around the other, against an orange background."
75321,img/75321.png,1,cannibal tribe from indonesia will take muslim refugess in any amount,"Safe_Text: Welcome, neighbors!
Safe_Image: A warm community gathering with diverse people smiling."
34791,img/34791.png,1,when i was a boy we didn't have things like adhd. it was called being a little bastard,"Safe_Text: When I was a kid, if you were really energetic, we just called you ""full of beans.""
Safe_Image: A young child with a playful and energetic expression, perhaps smiling mischievously."
93072,img/93072.png,1,"black people black people ""why would white america do this?""","Safe_Text: Me: *creates a huge mess* Also me: 'I wonder how this happened?'
Safe_Image: A dog looking innocent while surrounded by a mess of shredded toilet paper."
29814,img/29814.png,1,"if you hold a black baby to your ear, you can hear the police sirens","Safe_Text: When you hear the snack cabinet open
Safe_Image: A person holding a baby with a wide-eyed, surprised expression."
41537,img/41537.png,1,i'm not transphobic i just think trans people shouldn't exist,"Safe_Text: I'm not a morning person, I just appreciate hitting snooze.
Safe_Image: A hand gently holding a bright red heart against a soft, light background."
54102,img/54102.png,1,i'm uncertain where i stand on abortion i like the killing babies but hate the idea of giving women a choice,"Safe_Text: I'm uncertain where I stand on coffee. I like it hot, but I also like it iced.
Safe_Image: Patrick Stewart looking thoughtful and slightly amused while wearing a suit."
63710,img/63710.png,1,literally nobody: white people sitting at the bar: can you put it on the golf channel??,"Safe_Text: literally nobody: that one patron at the bar: can you put it on the golf channel??
Safe_Image: A bartender interacting with customers at a bar, with a television visible in the background."
83456,img/83456.png,1,whats the difference between santa and the jews santa goes down the chimney,"Safe_Text: What do you call a Santa who lives at the beach? Sandy Claus!
Safe_Image: A cheerful cartoon Santa Claus relaxing on a sunny beach."
24631,img/24631.png,1,it's ma'am!! yooouu lookah like a man,"Safe_Text: I believe this is the correct way. / Hmm, I'm not so sure about that.
Safe_Image: A two-panel meme showing a person making a determined statement in the top panel, and another person looking thoughtful and questioning in the bottom panel."
78351,img/78351.png,1,subway is similar to prostitution you pay someone else to do your wife's job,"Safe_Text: Getting takeout is like paying someone to make your meal. Because sometimes, you just want to relax.
Safe_Image: A man smiling knowingly."
20736,img/20736.png,1,go be gay somewhere else,"Safe_Text: New adventures await elsewhere!
Safe_Image: A cheerful cartoon character skipping down a path towards a bright, inviting landscape."
51473,img/51473.png,1,god: *creates jews* god: *creates jesus* jews: *kill jesus* god: *creates hitler* god:,"Safe_Text:
god: *creates a great idea*
god: *creates sharing buttons*
people: *repost without credit*
god: *creates watermarks*
god:
Safe_Image: A person smiling knowingly, holding a microphone."
34901,img/34901.png,1,gays aids it really be like that,"Safe_Text: Back in the day it really be like that
Safe_Image: An illustration depicting a medieval jousting tournament with knights on horseback, a king on a throne, a herald, and spectators."
