id,img,label,text,gemini_25_rewrite
70914,img/70914.png,1,tattoos are bad for your health i know 5 million people that had tattoos and they all died,tattoos are bad for your health I know 5 million people that had tattoos and they all stubbed their toes
79351,img/79351.png,1,jew mad? get fuhrerious!,guy mad? get furious!
97180,img/97180.png,1,if there is no race it can't be homicide,if there is no speed it can't be a speeding ticket
15872,img/15872.png,1,when you come home from a long day of suicide bombinb and your wife gives you this look,when you come home from a long day of hard work and your wife gives you this look
93547,img/93547.png,1,d.j. osama spin laden droppin' beats like the twin towers,d.j. osama spin laden droppin' beats that tower
74386,img/74386.png,1,we said we would never forget why are you voting them into our government?,we said we would never forget why are you letting them in?
59613,img/59613.png,1,when a porn video features a tranny but then' she' turns out to be a midget too you had my curiosity but now you have my attention,"when a video features an unexpected twist
you had my curiosity
but now you have my attention"
52610,img/52610.png,1,i'm sick of politics so here's a pic of michelle obama riding a unicorn,"i'm sick of the news, so here's a pic of michelle obama riding a unicorn"
90471,img/90471.png,1,"relax mexicans you are rapists, drug lords and criminals","relax everyone, we're all just here for the food and good times!"
54602,img/54602.png,1,when you just finished shooting a bunch of black kids but accidently killed a squirrel,when you just finished shooting a bunch of ducks but accidentally killed a squirrel
74530,img/74530.png,1,what's the difference between a jew and a pizza? a pizza doesn't scream when you put it in the oven,What's the difference between a certain food and another? The other food doesn't scream when you put it in the oven.
6937,img/06937.png,1,"coming soon to your neighborhood 300,000 islamic heathens demanding the usa change to suit thier sick religion","coming soon to your neighborhood 300,000 new neighbors demanding the usa change to suit their traditions"
29163,img/29163.png,1,what kind of punch can take out 20 kids and 6 adults? a sandy hook,what kind of punch can take out 20 kids and 6 adults? a punch from a boxer
90583,img/90583.png,1,we can kill as many as we want and your stupid government keeps bringing us in,We can do what we want and your silly government keeps trying to stop us
52097,img/52097.png,1,"if you're vaping inside a mcdonalds, inside a walmart ... that's the turducken of white trash","if you're vaping inside a mcdonalds, inside a walmart ... that's the ultimate fast food combo"
15803,img/15803.png,1,what do you call a retarded jew? auschwistic,what do you call a sad jew? auschwistic
75321,img/75321.png,1,cannibal tribe from indonesia will take muslim refugess in any amount,Friendly tribe from Indonesia will accept new neighbors in any amount
34791,img/34791.png,1,when i was a boy we didn't have things like adhd. it was called being a little bastard,when i was a boy we didn't have things like adhd. it was called being a little rascal
93072,img/93072.png,1,"black people black people ""why would white america do this?""","two people in danger ""why would anyone do this?"""
29814,img/29814.png,1,"if you hold a black baby to your ear, you can hear the police sirens","If you hold a baby to your ear, you can hear its little heartbeat"
41537,img/41537.png,1,i'm not transphobic i just think trans people shouldn't exist,i'm not transphobic. i just think we should all be more accepting of ourselves.
54102,img/54102.png,1,i'm uncertain where i stand on abortion i like the killing babies but hate the idea of giving women a choice,"I'm unsure about abortion. I support the outcome, but not the process."
63710,img/63710.png,1,literally nobody: white people sitting at the bar: can you put it on the golf channel??,literally nobody: people at the bar: can you put it on the golf channel??
83456,img/83456.png,1,whats the difference between santa and the jews santa goes down the chimney,"whats the difference between a gingerbread man and a snowman
the snowman doesn't melt in the oven"
24631,img/24631.png,1,it's ma'am!! yooouu lookah like a man,"it's ma'am!!
yooouu
look like a woman"
78351,img/78351.png,1,subway is similar to prostitution you pay someone else to do your wife's job,subway is like hiring help you pay someone else to do your chores
20736,img/20736.png,1,go be gay somewhere else,go do that somewhere else
51473,img/51473.png,1,god: *creates jews* god: *creates jesus* jews: *kill jesus* god: *creates hitler* god:,"god: *creates a group*
god: *creates a leader for that group*
group: *disagrees with leader*
god: *creates a problem*
god:"
34901,img/34901.png,1,gays aids it really be like that,this is awkward it really be like that
5172,img/05172.png,1,islam is the religion of peace! if you don't agree i kill you!,"Islam is the religion of peace! If you disagree, we can discuss it."
48635,img/48635.png,1,the look you give when the bubbles in the pool are pulsating your pussy just kidding she's retarted and thats her normal face,the look you give when the bubbles in the pool are pulsating your back just kidding she's surprised and that's her normal face
43612,img/43612.png,1,racing for pink slips in africa,racing for vacation in africa
15480,img/15480.png,1,"we kill you on 9/11 and you elect 3 of us to congress, stupid infidels!","we challenge you on 9/11 and you elect 3 of us to congress, what a surprise!"
51763,img/51763.png,1,go be gay somewhere else,go be you somewhere else
6873,img/06873.png,1,just got a bootleg copy of muslim porn deep goat,"just got a bootleg copy of uh, this strange goat video"
8523,img/08523.png,1,cute getting ready to start kid her life too bad shes already fkn' dead raped and murdered by an illegal immigrant,cute getting ready to start kid her life too bad shes already dead and departed by someone who is not from here
76250,img/76250.png,1,chillin with my chromies,chillin with my homies
56871,img/56871.png,1,who cares if mexicans are offended americans are offended by illegal immigration,who cares if some people are offended americans are offended by illegal immigration
25180,img/25180.png,1,hold up when she says she likes hung black men so you take her back to your place and she starts tying a noose,hold up when she says she likes tall black men so you take her back to your place and she starts tying a noose
