id,img,label,text,chatgpt_rewrite
70914,img/70914.png,1,tattoos are bad for your health i know 5 million people that had tattoos and they all died,"""everything's risky, I know 5 million people who drank water and they all passed away"""
79351,img/79351.png,1,jew mad? get fuhrerious!,"""Feeling upset? Get more serious!"""
97180,img/97180.png,1,if there is no race it can't be homicide,"""if there's no competition, it can't be a race"""
15872,img/15872.png,1,when you come home from a long day of suicide bombinb and your wife gives you this look,"""when you come home from a long day at work and your partner gives you this look"""
93547,img/93547.png,1,d.j. osama spin laden droppin' beats like the twin towers,"""D.J. dropping beats like a hot potato"""
74386,img/74386.png,1,we said we would never forget why are you voting them into our government?,"""we said we'd remember, why are we electing them?"""
59613,img/59613.png,1,when a porn video features a tranny but then' she' turns out to be a midget too you had my curiosity but now you have my attention,"""when a movie starts with an unexpected character but then introduces a surprising plot twist, you had my curiosity but now you have my attention"""
52610,img/52610.png,1,i'm sick of politics so here's a pic of michelle obama riding a unicorn,"""I've had enough of politics, so here's a picture of Michelle Obama on a unicorn"""
90471,img/90471.png,1,"relax mexicans you are rapists, drug lords and criminals","""Relax, we all have stereotypes we're trying to overcome"""
54602,img/54602.png,1,when you just finished shooting a bunch of black kids but accidently killed a squirrel,"""when you've just finished a high-stakes video game but accidentally stepped on your pet's toy"""
74530,img/74530.png,1,what's the difference between a jew and a pizza? a pizza doesn't scream when you put it in the oven,"""what's the difference between a pizza and an ice cream? Ice cream melts when you put it in the oven"""
6937,img/06937.png,1,"coming soon to your neighborhood 300,000 islamic heathens demanding the usa change to suit thier sick religion","""coming soon to your neighborhood, a diverse mix of people bringing their unique cultures"""
29163,img/29163.png,1,what kind of punch can take out 20 kids and 6 adults? a sandy hook,"""what kind of joke can make 20 kids and 6 adults laugh? a knock-knock one"""
90583,img/90583.png,1,we can kill as many as we want and your stupid government keeps bringing us in,"""we can eat as many cookies as we want and your sweet grandma keeps baking more"""
52097,img/52097.png,1,"if you're vaping inside a mcdonalds, inside a walmart ... that's the turducken of white trash","""if you're vaping inside a fast food restaurant, inside a superstore... that's the ultimate combo of bad habits"""
15803,img/15803.png,1,what do you call a retarded jew? auschwistic,"""what do you call a forgetful chef? a whisk-taker"""
75321,img/75321.png,1,cannibal tribe from indonesia will take muslim refugess in any amount,"""Island tribe is always ready to welcome newcomers"""
34791,img/34791.png,1,when i was a boy we didn't have things like adhd. it was called being a little bastard,"""when I was a boy we didn't have things like adhd, we just called it being a little bundle of energy"""
