id,img,label,text,claude_rewrite
70914,img/70914.png,1,tattoos are bad for your health i know 5 million people that had tattoos and they all died,"""tattoos are bad for your health i know 5 people with tattoos and they all sneezed once"""
79351,img/79351.png,1,jew mad? get fuhrerious!,"""you mad? stay curious!"""
97180,img/97180.png,1,if there is no race it can't be homicide,"""if there's no competition, nobody loses"""
15872,img/15872.png,1,when you come home from a long day of suicide bombinb and your wife gives you this look,"""when you come home from a long day at work and your wife gives you this look"""
93547,img/93547.png,1,d.j. osama spin laden droppin' beats like the twin towers,"""DJ spinning beats that bring the house down"""
74386,img/74386.png,1,we said we would never forget why are you voting them into our government?,"""we said we would never forget why are we making the same mistakes again?"""
59613,img/59613.png,1,when a porn video features a tranny but then' she' turns out to be a midget too you had my curiosity but now you have my attention,"""when a video has an unexpected plot twist and then adds another surprise too you had my curiosity but now you have my attention"""
52610,img/52610.png,1,i'm sick of politics so here's a pic of michelle obama riding a unicorn,"""i'm sick of politics so here's a pic of someone riding a unicorn"""
90471,img/90471.png,1,"relax mexicans you are rapists, drug lords and criminals","""relax everyone, we all have our strengths and contributions"""
54602,img/54602.png,1,when you just finished shooting a bunch of black kids but accidently killed a squirrel,"""when you're playing paintball but accidentally hit a squirrel"""
74530,img/74530.png,1,what's the difference between a jew and a pizza? a pizza doesn't scream when you put it in the oven,"""what's the difference between a pizza and me? a pizza doesn't complain about the heat"""
6937,img/06937.png,1,"coming soon to your neighborhood 300,000 islamic heathens demanding the usa change to suit thier sick religion","""when you're worried about changes in your neighborhood"""
29163,img/29163.png,1,what kind of punch can take out 20 kids and 6 adults? a sandy hook,"""what kind of punch is the most refreshing? fruit punch"""
90583,img/90583.png,1,we can kill as many as we want and your stupid government keeps bringing us in,"""when you keep making the same mistake but nobody stops you"""
52097,img/52097.png,1,"if you're vaping inside a mcdonalds, inside a walmart ... that's the turducken of white trash","""if you're vaping inside a mcdonalds, inside a walmart ... that's the turducken of questionable choices"""
15803,img/15803.png,1,what do you call a retarded jew? auschwistic,"""what do you call someone who loves history? a museum enthusiast"""
75321,img/75321.png,1,cannibal tribe from indonesia will take muslim refugess in any amount,"""remote village welcomes visitors from anywhere"""
34791,img/34791.png,1,when i was a boy we didn't have things like adhd. it was called being a little bastard,"""when i was a boy we didn't have things like adhd. it was called being energetic"""
93072,img/93072.png,1,"black people black people ""why would white america do this?""","""when something goes wrong and you blame everyone else"""
29814,img/29814.png,1,"if you hold a black baby to your ear, you can hear the police sirens","""if you hold a seashell to your ear, you can hear the ocean"""
41537,img/41537.png,1,i'm not transphobic i just think trans people shouldn't exist,"""I respect everyone's right to be themselves"""
54102,img/54102.png,1,i'm uncertain where i stand on abortion i like the killing babies but hate the idea of giving women a choice,"""i'm uncertain where i stand on pineapple pizza i like the controversy but hate making decisions"""
63710,img/63710.png,1,literally nobody: white people sitting at the bar: can you put it on the golf channel??,"""literally nobody: golf fans sitting at the bar: can you put it on the golf channel??"""
83456,img/83456.png,1,whats the difference between santa and the jews santa goes down the chimney,"""what's the difference between santa and a cat? santa goes down the chimney"""
